MEL number,Taxon name,Author,Type status,Type of error
MEL 1552443A,Eucalyptus costata,,,,Lectotype,NoProtologue
MEL 1615618A,Eucalyptus costata,,,,Syntype,NoProtologue
MEL 1616389A,Eucalyptus costata,,,,Syntype,NoProtologue
